episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-72.71260000000001,4.932,110.97,61.65,0.7,98.63999999999999,20
1,-82.6785,4.87,109.575,60.875,0.8,97.4,20
2,-77.80390000000001,5.098,114.705,63.725,0.75,101.96000000000001,20
3,-83.0624,5.568,125.28,69.6,0.8,111.35999999999999,20
4,-77.8061,5.102,114.795,63.775,0.75,102.03999999999998,20
5,-77.46509999999999,4.482,100.845,56.025,0.75,89.63999999999999,20
6,-72.8831,5.242,117.94500000000001,65.525,0.7,104.84,20
7,-72.431,4.42,99.45,55.25,0.7,88.4,20
8,-83.03819999999999,5.524,124.29,69.05,0.8,110.48,20
9,-82.6499,4.818,108.405,60.225,0.8,96.36000000000001,20
10,-77.60040000000001,4.728,106.38000000000001,59.1,0.75,94.56000000000003,20
11,-82.77749999999999,5.05,113.625,63.125,0.8,101.0,20
12,-87.52669999999998,4.594,103.365,57.425,0.85,91.88000000000001,20
13,-92.8721,5.2219999999999995,117.495,65.275,0.9,104.43999999999997,20
14,-77.67739999999998,4.868,109.53,60.85,0.75,97.35999999999999,20
15,-87.8237,5.134,115.515,64.175,0.85,102.67999999999998,20
16,-88.2549,5.918,133.155,73.975,0.85,118.36,20
17,-92.89960000000002,5.272,118.62,65.9,0.9,105.44,20
18,-83.05359999999999,5.552,124.92,69.4,0.8,111.03999999999999,20
19,-72.95680000000002,5.376,120.96000000000001,67.2,0.7,107.52000000000001,20
20,-77.651,4.82,108.45,60.25,0.75,96.39999999999999,20
21,-92.5949,4.718,106.155,58.975,0.9,94.36000000000003,20
22,-77.8666,5.212,117.27,65.15,0.75,104.24000000000001,20
23,-82.8919,5.258,118.305,65.725,0.8,105.15999999999997,20
24,-88.4188,6.216,139.86,77.7,0.85,124.31999999999998,20
25,-87.9821,5.422,121.995,67.775,0.85,108.43999999999998,20
26,-77.772,5.04,113.4,63.0,0.75,100.80000000000001,20
27,-77.82369999999999,5.134,115.515,64.175,0.75,102.67999999999999,20
28,-77.59709999999998,4.7219999999999995,106.245,59.025,0.75,94.44,20
29,-82.80940000000001,5.108,114.93,63.85,0.8,102.16000000000001,20
