episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-43.70929777777777,7.022333333333333,92.62,47.61,0.4,37.099999999999994,20
1,-33.768346666666666,7.1531666666666665,89.805,45.99,0.3,40.2,20
2,-28.86468777777778,7.319833333333333,95.72500000000001,49.205,0.25,40.5,20
3,-34.24686222222222,8.0525,103.205,52.97,0.3,46.39999999999999,20
4,-43.84997222222221,7.2915,95.51,49.050000000000004,0.4,38.35,20
5,-23.369755555555557,6.377666666666666,84.44,43.550000000000004,0.2,34.519999999999996,20
6,-54.010394444444444,7.604833333333334,97.22500000000001,49.975,0.5,42.46666666666667,20
7,-33.367416666666664,6.3821666666666665,82.47,42.35,0.3,34.3,20
8,-49.20874333333333,7.975833333333333,103.245,53.055,0.45,44.2,20
9,-33.59909444444444,6.8085,91.075,46.825,0.3,38.75,20
10,-43.71447333333333,7.06,86.655,44.095,0.4,44.3,20
11,-43.844337777777774,7.2875,93.895,48.13,0.4,39.0,20
12,-38.53004111111111,6.6946666666666665,85.525,43.84,0.35,39.3,20
13,-49.03577222222222,7.658666666666667,96.785,49.45,0.45,45.3,20
14,-43.80109222222222,7.221,89.48,45.585,0.4,43.5,20
15,-43.99470222222222,7.5874999999999995,94.25,48.115,0.4,42.9,20
16,-59.45387444444444,8.432166666666667,111.205,57.115,0.55,45.85,20
17,-53.92057111111111,7.413833333333333,99.76,51.405,0.5,40.45,20
18,-59.119938888888896,7.7905,104.885,54.075,0.55,42.24999999999999,20
19,-38.99855222222222,7.561333333333334,101.75,52.415,0.35,41.7,20
20,-43.65569333333333,6.927833333333333,89.61,46.105000000000004,0.4,40.86666666666667,20
21,-48.60453888888889,6.8345,87.65,44.95,0.45,36.0,20
22,-54.05937444444445,7.711666666666667,95.5,48.715,0.5,42.9,20
23,-53.96462,7.5055,98.91,50.985,0.5,40.36000000000001,20
24,-44.75916111111111,9.024,115.66000000000001,59.325,0.4,49.900000000000006,20
25,-49.22329444444445,8.021166666666666,99.685,50.975,0.45,47.3,20
26,-48.86287444444445,7.328333333333333,92.995,47.69,0.45,44.06666666666666,20
27,-33.88514111111111,7.3613333333333335,95.62,49.115,0.3,41.66666666666667,20
28,-53.66796333333334,6.9623333333333335,87.54,44.765,0.5,44.4,20
29,-44.034168888888885,7.672666666666666,92.93,47.29,0.4,46.8,20
30,-33.842398888888894,7.303,89.58500000000001,45.68,0.3,42.9,20
31,-58.90597888888889,7.402166666666667,95.765,49.245,0.55,41.33333333333333,20
32,-39.02505111111111,7.618833333333333,100.705,51.87,0.35,40.266666666666666,20
33,-33.84176888888889,7.2785,94.625,48.69,0.3,41.2,20
34,-68.97521888888889,7.543,95.525,48.79,0.65,43.3,20
35,-43.82289777777777,7.238333333333333,95.185,48.985,0.4,37.3,20
36,-23.112947777777777,5.893166666666667,77.71000000000001,40.01,0.2,30.68,20
37,-54.162622222222225,7.904166666666667,98.675,50.45,0.5,44.0,20
38,-48.85662666666666,7.317833333333334,92.565,47.43,0.45,43.66666666666667,20
39,-38.451366666666665,6.548,83.175,42.475,0.35,34.900000000000006,20
40,-49.25982333333334,8.082166666666666,102.51,52.42,0.45,46.3,20
41,-28.667685555555554,6.936166666666667,93.125,48.065,0.25,37.44,20
42,-48.371638888888896,6.389833333333334,82.685,42.425,0.45,34.266666666666666,20
43,-48.55370111111111,6.726,89.11,45.845,0.45,35.6,20
44,-38.69545333333333,7.013333333333334,88.53,45.21,0.35,41.699999999999996,20
45,-44.086131111111115,7.752833333333333,98.275,50.26,0.4,42.7,20
46,-53.8925711111111,7.3629999999999995,98.56,50.78,0.5,39.3,20
47,-33.67681777777777,6.979,87.91,44.82,0.3,42.1,20
48,-43.792657777777784,7.1845,93.625,48.19,0.4,37.6,20
49,-28.611873333333335,6.838333333333333,90.105,46.295,0.25,37.0,20
