episode,total_reward,avg_latency,avg_energy,avg_cost,sla_miss_rate,makespan,num_tasks
0,-44.54758111111111,8.752166666666668,82.825,39.735,0.4,104.0,20
1,-49.46584555555556,8.601333333333333,79.325,38.52,0.45,83.1,20
2,-59.49213666666667,8.635333333333334,83.52,40.835,0.55,70.86666666666666,20
3,-34.295452222222224,8.158833333333334,101.66,51.54,0.3,51.65,20
4,-43.9888011111111,7.574333333333334,94.675,48.22,0.4,52.5,20
5,-38.85453333333333,7.390333333333333,75.57,37.7,0.35,57.66666666666667,20
6,-59.89711222222222,9.439,85.925,41.07,0.55,106.89999999999999,20
7,-43.81434,7.305833333333333,77.025,37.92,0.4,69.7,20
8,-39.468624444444444,8.509,100.84,51.04,0.35,70.4,20
9,-49.074486666666665,7.7885,85.47,42.635000000000005,0.45,73.30000000000001,20
10,-53.698541111111105,7.0145,89.33500000000001,46.015,0.5,61.2,20
11,-54.60537111111111,8.860166666666666,84.625,40.63,0.5,96.6,20
12,-43.84271777777778,7.3485,79.54,40.045,0.4,52.39999999999999,20
13,-69.71392777777778,9.081,83.275,40.45,0.65,82.4,20
14,-54.135287777777776,7.9190000000000005,83.5,41.505,0.5,57.5,20
15,-54.40197888888889,8.4385,87.56,42.72,0.5,62.2,20
16,-59.62895555555554,8.795833333333334,108.8,55.075,0.55,53.50000000000001,20
17,-79.6969888888889,9.038,84.77,41.9,0.75,90.8,20
18,-69.74488888888888,9.0855,95.39,48.075,0.65,73.2,20
19,-48.77288111111111,7.094833333333333,104.575,54.635,0.45,44.68000000000001,20
20,-38.81397888888888,7.251666666666667,88.43,44.945,0.35,50.300000000000004,20
21,-53.71715444444445,7.0601666666666665,88.03,44.63,0.5,56.199999999999996,20
22,-49.05682,7.717,93.465,47.235,0.45,60.20000000000001,20
23,-59.13344222222222,7.849333333333333,97.565,50.185,0.55,59.2,20
24,-59.60922666666667,8.7005,120.3,62.655,0.55,63.35999999999999,20
25,-59.85060666666668,9.321333333333333,90.45,44.72,0.55,88.10000000000001,20
26,-49.5224011111111,8.693,84.88,40.795,0.45,86.7,20
27,-39.677527777777776,8.998166666666666,85.27,41.85,0.35,94.6,20
28,-63.35746444444444,6.322,90.805,47.785,0.6,44.84,20
29,-48.951649999999994,7.505,93.19500000000001,47.8,0.45,52.199999999999996,20
30,-44.094032222222225,7.839,82.64,41.355,0.4,78.6,20
31,-54.54380333333333,8.731666666666667,85.59,41.435,0.5,69.9,20
32,-54.60118333333333,8.799166666666666,95.175,47.925000000000004,0.5,94.00000000000001,20
33,-34.31060111111112,8.249833333333333,88.42,43.72,0.3,74.8,20
34,-54.45397666666667,8.535,88.935,43.83,0.5,76.5,20
35,-54.24169444444444,8.110166666666666,88.165,44.325,0.5,58.60000000000001,20
36,-38.38832222222223,6.467833333333333,72.725,36.8,0.35,43.86666666666667,20
37,-59.68446111111112,8.9785,92.305,46.325,0.55,87.89999999999999,20
38,-44.048943333333334,7.713166666666667,91.125,45.555,0.4,56.5,20
39,-23.387856666666664,6.414833333333333,84.15,43.47,0.2,35.266666666666666,20
40,-54.16463666666666,7.894166666666667,101.325,52.485,0.5,70.13333333333333,20
41,-43.97513111111111,7.5655,90.235,46.06,0.4,65.2,20
42,-33.889834444444446,7.455166666666667,77.005,38.345,0.3,78.60000000000001,20
43,-43.719627777777774,7.0735,86.2,43.550000000000004,0.4,42.95,20
44,-33.678002222222226,6.9830000000000005,87.14,44.84,0.3,53.0,20
45,-64.8080611111111,9.255166666666668,86.425,42.225,0.6,80.8,20
46,-59.36721000000001,8.3575,89.415,44.555,0.55,66.0,20
47,-39.06175777777777,7.782666666666667,81.04,40.19,0.35,58.5,20
48,-44.30773777777778,8.247666666666667,87.385,43.405,0.4,78.30000000000001,20
49,-49.09951333333333,7.845,83.595,42.065,0.45,68.30000000000001,20
